"Title","Username","ID"
"SolHouse Signal","solhousesignal","2483474049"
"GENESIS GEM CHAT","GeNeSiS_Lounge","2124901271"
"Gambles 🎲 MadApes","mad_apes_gambles","1758611100"
"SONIC SPEED CALLS","SONIC_SPEED_CALLS","2010667852"
"CryptoMoonShots Chat 加密月球shots","CryptoMoonShots_Chat","1436890846"
"Crypto Launch Hunter","CryptoLaunchhunter","1231932764"
"POSEIDON DEGEN CALLS","POSEIDON_DEGEN_CALLS","1869537526"
"Sol 100x Pump Aliance","solpumpforce67","1703349042"
"Solana Meme Pump","SolMemeSignals","2021061730"
"阿布说币频道 寻找全链金狗","sol_num1","2012596566"
"666 🔥 Calls","x666calls","1903316574"
"Natalia Calls || 娜塔莉亚的电话","CobraGems","1784631341"
"Aping Den: 100x plays!","apingdegen","2248291047"
"Solstice's Moonshots","solsticesmoonshots","2032946187"
"Make Money With Matt 💰","MakeMoneyWithMattTG","1923532430"
"TradewizAI - Chat",,"2453805404"
"BagCalls 🎒🎒🎒","bagcalls","1225991487"
"🦇 BATMAN GAMBLE 🎲","BatmanGamble","1510769567"
"SHERLOCK CALLS","sherlock_realcalls","2106608671"
"DELUGE.CASH | SOL EVENTS","trendingsevents","1956613416"
"Micha Calls - Multichain","michacalls","1655443406"
"Crypto Pump Creator","Crypto_Pumps_Signals_Creator","1767909349"
"Crypto Angel Pump","crypto_angelpump","1900874537"
"Bitcong 🎲 Gambles","dogehomes","1948082809"
"Akatsuki Degen Ape","Akatsuki_Calls_x1000","1910079152"
"LEGION.","legioncallz","2243485250"
"Maestros Gamble Degen Apes","Maestrosdegen","1810124798"
"Rolls Royce call💈","RollsRoycecall","2097907870"
"Luigi’s SOL, ETH & BSC Alpha Calls","luigiscalls","1218247352"
"SolarSteed Call","SolarSteedCall","2280715250"
"BILL MAGIC CALLS","billmagiccalls","2171230514"
"First Ledger Official","FirstLedgerChats","2064496071"
"Klutch Trades","klutchtrades","2062040069"
"🐧Dippy Alpha Calls","dippy_calls","1538340900"
"SOLANA INSIDER PUMPS🚀","solanainsiderpumps","2163838001"
"ferb's friends","ferbsfriendz","1999456751"
"GENESIS CHAIN CALLS","GenesisChain_Calls","2086003521"
"MrEdu’s Trades","MrEduTrades","1842612932"
"Whale pump official 🐋","mexcpumpcoins","1576726319"
"Nik's Eth + Sol Plays","NiksGambles","1500874400"
"TOP G Calls","topgpump","2203657649"
"Exy's Gems","exysgems","1655968962"
"Ardizor Gems","ardizorgemcalls","1652235650"
"BangChain⛓️‍💥",,"2275103927"
"FREE MONEY (sometimes)","freemoneysometimes","2024165656"
"Keira Public",,"2335582158"
"Cas Gem (EL404)","casgem","2054466090"
"FEXIRCALLS🎲♟️","Crypto_FexirGems","1713964244"
"PEPE CALLS","PEPE_Calls28","2017857449"
"CryptoMoonShots Channel 渠道","CryptoMoonShots_Channel","2228489406"
"Degen Seals","DegenSeals","1523523939"
"Levis Calls","LevisAlpha","1924457034"
"CRYPTO CAPITAL CARTEL 📡 (FREE SIGNAL)","sendordiesol","2350093099"
"The Don’s Degens","degensgems","1587879377"
"God’s Plays⚡️","PlaysbyGod","2273164809"
"Levi's Gem Calls","LevisGemCalls","1874732560"
"zinc's ai alpha🗿","zincalpha","2465484034"
"Bull Den Calls","BullDenCalls","2441154259"
"Sol Meme Calls 100x","SolMemeKallzz","2020123339"
"wat is des","watisdes","1870127953"
"Crypto VIP Signal",,"1312345502"
"Mr. T’s Crypto Gems","MrTsCalls","2028889478"
"Khronos Χρονος","KhronosAllChain","1700113598"
"@Nafbz",,"1667182517"
"The Ed Pill","EdPill","1643023570"
"Brainstorm Alphas","BrainstormAlphas","1998952736"
"Robo Calls","robogems","1712204022"
"VIP Pumps MemeCoin Whale","memecoinwhalepumpss","1818809358"
"Dr. Crypto Calls ❁","dr_crypto_channel","1755052940"
"Tuktuk Calls","tuktukcalls","2588195194"
"SOL PUMP™",,"2243600557"
"DEX Pumps",,"2176577804"
"Crypto Pump Club 📈","cryptoclubpump","1625691880"
"🚀 Alt Crypto Gems 💎","Alt_Crypto_Gems","1204206088"
"Whale Billionaire ( 鲸鱼亿万富翁 ) 🈲","solar_apes_calls","2016911756"
"Maythous Degens","maythousdegens","1989363348"
"Solstice's Degens","solsticebillboard","2000455647"
"The Trenches by Mladek","insidersenclave","2084701878"
"CryptoNekoZ Journal","cryptonekoz411","1381187829"
"KRYPTO POLSKA","KryptoPolska10","1546051800"
"Daddysol's Gem Calls","daddysolsgemcalls","2038542104"
"🍯 Honey Calls","honeycalls","1446663512"
"Duncan Plays","duncanplays","2029186523"
"seaplays","SEAPLAYS","1500948745"
"Aurora Monitor | PumpSwap",,"2668515245"
"CPCoin - Official","CPCoinOfficial","1495496093"
"GREEN APES CALLS","Green_Apes_Calls","1652789906"
"The Arena",,"2232700463"
"Handsome Finance","handsomertg","2084671326"
"Charto Gambling Cartel 🎰","ChartoCartel","2395243823"
"BraveCalls @Bravelounge - BravePlays","brave_calls","1761733308"
"Memecoinando 🐂🌖","cutinionchain","2454505285"
"< Vendetta Clash Royale >",,"1315692932"
"MEME SMILE","MEMESMILE_GB","2062872196"
"Hustler’s Alpha","hustlersalpha","1938705026"
"Solana Rockets","solanarockets","1847478518"
"Aurora Monitor | Influencers",,"2578011329"
"TIGERS CALLS { 𝐄𝐓𝐇 / 𝐁𝐒𝐂 /SOL }","tigers_callz","1778505113"
"MoonBot (Portal)","moonbotontg","2666324827"
"MoonBot Chat (Private)",,"2698402672"
"Pump Syndicate Signals","MakeSOL_Great_Again","1987083542"
"Pi Network","PiAnnouncements","1311535427"
"Rafi's Degen Diary 📝","rafisdegendiary","1969619050"
"GekkoCalls💎","gekkocalls","1673937526"
"Tate’s War Room ♞","TWRoom","1483840213"
"Neo Calls","NeoCallss","1727739570"
"Milliam's Milliamaires","milliamalpha","2190064947"
"Alby and Mio","albyandmio","2339048476"
"POPEYE Humorous Calls 🐳","PopeyeHumorousCalls","2144405971"
"CoinLaunch","LaunchInt","2113518115"
"Mila & Friends",,"2249377092"
"Crypto Pumps Drunk","crypto_pumps_events_signals","1750404698"
"Boru Calls","boru_calls","2088696542"
"Phanes Hub","PhanesHub","2079356174"
"Ralph’s Call","ralphscall","1717349628"
"now @luciostrades","viperdegens","2483028629"
"Brozinkers","brozinkers","1715499315"
"based kook calls","hellokook","2082341024"
"HolyZ","theholyz","2496328618"
"Move with Mila 📈",,"2231133650"
"Tony Dialga","dialgacalls","1714005506"
"aixbt Portal","aixbtportal","2446624653"
"BELFORTs Private Club","Belfortspc","2480814151"
"Crush Private Group",,"2303987146"
"NOLAN INSIDER","mackpumps24","1844719988"
"$DWIFB | Community | Solana","dwifbsolana","2340161874"
"PABLO'S $SOL 100x CHALLENGE","AlphaSol100x","2077744774"
"TradeWiz AI Portal","TradeWizAIPortal","2349248575"
"degnben’s cartel ✍️","degenBENPLAYS","2020853343"
"GEM of Key.ATHs 50 SOL -> 6900 SOL","GEMsLikesATHs","2107741923"
"Avarik Saga","OfficialAvarikSaga","2213642877"
"BashBrothers","TwoBashBrothers","2164241984"
"Trojan on Solana - Portal",,"2123507806"
"Crypto Chat","kmmmkbivdeolar","2349388665"
"imgnAI Portal","imgnAI","1529471056"
"DubaiPeeps “Holder Only”",,"1565001100"
"Crush AI Announcement Channel","crush_ai","2118334066"
"tutu bot test 001","tutu_bot_test_001","2484443145"
"tutu-bot-test","tutubottest111","2359863401"
"Pump Support Portal","pumpfunsupport","2001857595"
"MYMIND AI",,"2257739258"
"Insyder's Casino (OLD)","insydercooks13","2200506862"
"Meme Blitz calls","memeblitzerscalls","2130119145"
"(Sol/Eth) Vigilantes’ 100x calls","solethvigilantesorg","2068452325"
"Pumping Rocket 🚀 - #1 Pump Group on ETH/BSC","MrPumpRocket","1471739929"
"PlonkBot Portal","PlonkBotJoin","2246204174"
"CHEDcto","CHEDcoincto","2229235747"
"$LANDLORD PORTAL","LandLordRonaldPortal","2243896662"
"Capybase Community Mod Team",,"2245289469"
"Bolt verification",,"2222763465"
"Capybase KOLs",,"2147490994"
"CapyMemes",,"2169521260"
"$CAPY on Base Portal","capybase_portal","2168864936"
"$MOFO Portal","MofotheMartian","2213167560"
"Flappyonsol",,"2132497217"
"SOLANAL","SOLANALLL","2042492515"
"SOLANAL","SOLANAAL","2009700571"
"Mirrorly | Smartestmoney",,"2093692790"
"BONKbot Chat Portal","BONKbotChat","2036811730"
"Sect Token Portal","SectTokenPortal","1997737850"
"Bbrainz & GU",,"1605489402"
"Bbrainz <> BCCS x Crypton",,"1743542038"
"Ivo - registrazioni e altro","ivoscam","1659446341"
"Ivo - materiale x Iene",,"1781602080"
"Nashrabot FAQ","nashraFAQ","1380181930"
